track_name,acousticness,danceability,energy,instrumentalness,loudness,tempo,valence
I Ain't Worried,0.08296761088639262,0.7113543091655266,0.7959245222321636,0.000802801724137931,0.8414876476906552,0.5345123415219746,0.8457913900192761
Overwhelming,0.2532276796236187,0.7715458276333788,0.6199973862254079,0.0,0.8793233082706767,0.2521125523380084,0.6765902762904263
Satellite,0.14367427057782386,0.53625170998632,0.4541232294190383,3.2866379310344825e-05,0.8268259935553169,0.528597780575645,0.28464339258941956
The Spins,0.013516780014241944,0.8344733242134063,0.7647602867109669,0.0,0.8960794844253491,0.45845460135273625,0.5512957806810881
Waste of Time,0.6060097582940223,0.8891928864569082,0.5325364671820495,0.0,0.7661385606874329,0.49346177495388405,0.5459413150567574
Everything But You (feat. A7S),0.031105630090401664,0.6771545827633378,0.7627496908708896,9.752155172413792e-06,0.8582975295381311,0.44657277545164414,0.46669522381666306
We Will Meet Again,0.36881155155266826,0.29685362517099867,0.7848662451117389,0.0070043103448275855,0.8273093447905479,0.5045061927209908,0.24502034696937247
Another Day in Paradise,0.16176565922758815,0.6415868673050615,0.8009510118323566,0.0,0.858109559613319,0.6982344157175064,0.5620047119297495
As It Was,0.3436846228724401,0.45964432284541723,0.7295748595096156,0.0010883620689655172,0.8573039742212675,0.7332415893186544,0.6712358106660956
Something About Your Love,0.013416272299521031,0.5512995896032831,0.825078161913283,0.00014116379310344826,0.8468313641245973,0.42925658068105293,0.2557292782180339
Meet Me At Our Spot - Live,0.1597555049331699,0.697674418604651,0.47221859197973315,4.202586206896551e-06,0.811734693877551,0.2709513073522091,0.38102377382737207
Skyline,0.0179391194619621,0.7510259917920655,0.6511616217466046,0.023491379310344826,0.8370032223415682,0.41740403478464555,0.7676161919040481
hello!,0.3316236971059306,0.5389876880984951,0.426980185577996,0.0,0.8359291084854995,0.17727871636459464,0.27072178196615976
Too Late (with AJR),0.020250796900543093,0.7496580027359779,0.6210026841454465,0.0,0.8151181525241676,0.2359265657482505,0.6541015206682373
Confetti,0.5416848208726381,0.8399452804377564,0.4933298483005438,1.3038793103448276e-06,0.8442266380236305,0.3650455304072849,0.44206468194474197
Pursuit Of Happiness (Nightmare),0.48640557777613613,0.6101231190150478,0.6029073215847517,0.00010010775862068963,0.7602846401718583,0.3897695663631306,0.24716213321910474
